Step,True_Label,Top1,Top2,Top3,nDCG@3,Hit@3
1,13,26,29,37,0.0,0
2,22,37,27,6,0.0,0
3,13,29,31,10,0.0,0
4,13,29,13,28,0.6309297529405278,1
5,22,5,16,1,0.0,0
6,24,28,3,37,0.0,0
7,24,10,29,26,0.0,0
8,10,1,29,20,0.0,0
9,2,29,37,31,0.0,0
10,30,39,25,10,0.0,0
11,8,10,33,37,0.0,0
12,30,37,29,28,0.0,0
13,24,5,28,3,0.0,0
14,36,29,37,5,0.0,0
15,23,5,41,27,0.0,0
16,10,29,0,13,0.0,0
17,34,37,26,29,0.0,0
18,38,37,28,10,0.0,0
19,22,37,5,29,0.0,0
20,10,2,20,10,0.49999999949999996,1
21,22,14,5,6,0.0,0
22,34,29,5,26,0.0,0
23,24,41,14,6,0.0,0
24,6,37,26,28,0.0,0
25,24,5,10,20,0.0,0
26,36,29,10,1,0.0,0
27,8,24,10,3,0.0,0
28,36,0,10,36,0.49999999949999996,1
29,10,41,4,26,0.0,0
30,34,14,16,5,0.0,0
31,41,12,16,25,0.0,0
32,0,37,33,14,0.0,0
33,39,5,37,10,0.0,0
34,10,1,37,32,0.0,0
35,30,37,10,5,0.0,0
36,22,37,28,5,0.0,0
37,30,15,24,26,0.0,0
38,13,37,29,5,0.0,0
39,38,41,4,16,0.0,0
40,38,26,37,27,0.0,0
41,2,10,2,23,0.6309297529405278,1
42,22,37,10,16,0.0,0
43,13,0,26,37,0.0,0
44,28,37,41,35,0.0,0
45,16,37,26,1,0.0,0
46,30,10,29,39,0.0,0
47,26,41,37,31,0.0,0
48,1,26,37,19,0.0,0
49,2,10,23,37,0.0,0
50,18,3,0,16,0.0,0
51,37,37,26,0,0.9999999989999999,1
52,18,5,31,32,0.0,0
53,38,37,1,40,0.0,0
54,24,37,35,1,0.0,0
55,22,37,28,29,0.0,0
56,28,20,29,14,0.0,0
57,30,0,5,37,0.0,0
58,6,41,0,6,0.49999999949999996,1
59,24,15,3,41,0.0,0
60,23,2,10,14,0.0,0
61,3,32,1,37,0.0,0
62,7,0,14,1,0.0,0
63,10,10,29,35,0.9999999989999999,1
64,34,28,41,29,0.0,0
65,24,33,40,13,0.0,0
66,24,10,5,37,0.0,0
67,24,6,37,4,0.0,0
68,17,14,1,10,0.0,0
69,22,37,10,40,0.0,0
70,27,40,41,5,0.0,0
71,38,22,38,16,0.6309297529405278,1
72,3,37,29,40,0.0,0
