Step,True_Label,Action,Reward,Cumulative
1,13,0,0,0
2,22,1,0,0
3,13,2,0,0
4,13,3,0,0
5,22,4,0,0
6,24,2,0,0
7,24,5,0,0
8,10,6,0,0
9,2,7,0,0
10,30,0,0,0
11,8,8,1,1
12,30,8,0,1
13,24,8,0,1
14,36,8,0,1
15,23,8,0,1
16,10,1,0,1
17,34,8,0,1
18,38,8,0,1
19,22,9,0,1
20,10,8,0,1
21,22,8,0,1
22,34,1,0,1
23,24,8,0,1
24,6,8,0,1
25,24,10,0,1
26,36,2,0,1
27,8,11,0,1
28,36,12,0,1
29,10,0,0,1
30,34,8,0,1
31,41,5,0,1
32,0,13,0,1
33,39,14,0,1
34,10,8,0,1
35,30,8,0,1
36,22,8,0,1
37,30,9,0,1
38,13,15,0,1
39,38,10,0,1
40,38,8,0,1
41,2,8,0,1
42,22,15,0,1
43,13,16,0,1
44,28,17,0,1
45,16,16,1,2
46,30,16,0,2
47,26,16,0,2
48,1,16,0,2
49,2,16,0,2
50,18,16,0,2
51,37,16,0,2
52,18,16,0,2
53,38,16,0,2
54,24,8,0,2
55,22,16,0,2
56,28,3,0,2
57,30,18,0,2
58,6,16,0,2
59,24,3,0,2
60,23,11,0,2
61,3,8,0,2
62,7,19,0,2
63,10,20,0,2
64,34,21,0,2
65,24,22,0,2
66,24,16,0,2
67,24,8,0,2
68,17,16,0,2
69,22,16,0,2
70,27,0,0,2
71,38,16,0,2
72,3,16,0,2
73,10,0,0,2
74,24,23,0,2
75,34,24,0,2
76,38,25,0,2
77,3,8,0,2
78,3,12,0,2
79,24,17,0,2
80,16,16,1,3
81,38,16,0,3
82,18,26,0,3
83,33,27,0,3
84,28,16,0,3
85,30,16,0,3
86,29,16,0,3
87,38,16,0,3
88,27,23,0,3
89,13,16,0,3
90,25,28,0,3
91,38,8,0,3
92,22,29,0,3
93,31,16,0,3
94,24,16,0,3
95,38,16,0,3
96,24,16,0,3
97,24,16,0,3
98,16,30,0,3
99,14,4,0,3
100,29,31,0,3
101,37,8,0,3
102,30,19,0,3
103,38,32,0,3
104,2,33,0,3
105,10,1,0,3
106,38,20,0,3
107,41,0,0,3
108,33,34,0,3
109,23,8,0,3
110,23,27,0,3
111,24,4,0,3
112,24,16,0,3
113,5,16,0,3
114,24,35,0,3
115,2,36,0,3
116,26,37,0,3
117,10,8,0,3
118,25,8,0,3
119,30,38,0,3
120,28,39,0,3
121,37,16,0,3
122,38,40,0,3
123,24,16,0,3
124,33,41,0,3
125,17,30,0,3
126,34,34,1,4
127,22,34,0,4
128,13,34,0,4
129,39,34,0,4
